COUNTY,THEME1,THEME2,THEME3,THEME4,THEMES
Greene,0.2803,0.3561,0.4091,0.2121,0.2121
James City,0.053,0.5379,0.6212,0.2348,0.2045
Lancaster,0.197,0.4091,0.4621,0.2273,0.197
Rockbridge,0.4848,0.2045,0.1439,0.1212,0.1894
Roanoke,0.1136,0.303,0.4697,0.3788,0.1818
Stafford,0.0303,0.3788,0.7879,0.1667,0.1742
Floyd,0.3561,0.2879,0.2273,0.0985,0.1667
Augusta,0.2727,0.1439,0.2197,0.3561,0.1591
Falls Church City,0,0.1591,0.6439,0.4848,0.1515
Northumberland,0.4015,0.4242,0.2273,0.0379,0.1439
Arlington,0.0152,0,0.8712,0.8258,0.1364
Bedford,0.2576,0.2348,0.2652,0.1742,0.1288
Clarke,0.2121,0.3939,0.4015,0.1136,0.1212
Loudoun,0.0076,0.1061,0.9394,0.1439,0.1136
Craig,0.1667,0.3106,0.0227,0.2424,0.1061
King William,0.2273,0.3409,0.2727,0.0455,0.0985
Botetourt,0.1288,0.3712,0.25,0.1061,0.0909
Highland,0.2652,0.447,0,0.0606,0.0833
Fluvanna,0.1515,0.1515,0.3939,0.0606,0.0758
Gloucester,0.1818,0.3333,0.1667,0.0606,0.0682
Fauquier,0.0379,0.1742,0.5682,0.0152,0.0606
Goochland,0.0379,0.0909,0.303,0.2045,0.053
Rappahannock,0.2045,0.4242,0.2273,0.0076,0.0455
King George,0.0682,0.1591,0.3712,0.0303,0.0379
Mathews,0.1364,0.2121,0.0909,0.0227,0.0303
Hanover,0.0227,0.1288,0.3106,0.0833,0.0152
Poquoson City,0.0833,0.4848,0.2121,0,0.0152
New Kent,0.1212,0.0833,0.1667,0.0909,0.0076
Powhatan,0.0606,0.0455,0.2045,0.053,0
